Código,Descripción
g3[1],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Writer (Procesador de texto)]"
g3[2],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Calc (Hoja de cálculo)]"
g3[3],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Draw (Editor gráfco)]"
g3[4],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Gimp (Edición de imágenes)]"
g3[5],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Freemind (Mapas mentales)]"
g3[6],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Audacity (Editor de audio)]"
g3[7],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Openshot (Editor de video )]"
g3[8],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Wordpress (Sistema para crear siios web)]"
g3[9],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Sozi (Presentaciones)]"
g3[10],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Inkscape (Edición de imágenes vectoriales)]"
g3[11],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Ninguno]"
g3[other],"De los programas que se mencionan a continuación, ¿Cuáles utilizas? [Otro]"
h2,¿Sabes qué son las licencias libres?
h1,¿Sabes lo que es el conocimiento abierto?
h3,¿Sabe qué son los datos abiertos?
i0, En tu unidad educativa ¿Existe un aula específica equipada para el uso de computadoras?
i1,En tu unidad educativa ¿Existe un aula específica equipada para el uso de las KUAA?
i2,¿Utilizaste alguna vez las KUAA para pasar clases?
i3, ¿Cuándo fue la última vez que utilizaste en un aula las KUAA para pasar?
i4,¿Pudiste utilizar Internet en el laboratorio de computación de tu Unidad Educativa?
i5, ¿Incorporaste el uso de tecnologías para tu aprendizaje en el colegio? 
j1[SQ001],Te preparaste antes de venir a clase mediante: [Vídeos]
j1[SQ002],Te preparaste antes de venir a clase mediante: [Presentaciones o infografías u otro material gráfico]
j1[SQ003],Te preparaste antes de venir a clase mediante: [Textos en linea]
j1[SQ004],Te preparaste antes de venir a clase mediante: [Textos impresos]
j1[SQ005],Te preparaste antes de venir a clase mediante: [No me prepare]
j1[other],Te preparaste antes de venir a clase mediante: [Otro]
j2,Los materiales que preparaste antes de clase mayormente fueron:
j3,Recibiste una guía de estudio o de orientación que te permitió recuperar o comprender la información para tu auto preparación mediante recursos digitales.
j4,El profesor te proporcionó foro de preguntas y respuestas para consultar tus dudas que tenías sobre el trabajo asignado fuera del aula.
j5,"Para el desarrollo de tu materia, sientes que el profesor preparó productos para retroalimentar tu aprendizaje."
j6, La forma de organización de la clase normalmente fue: 
j7,"Tu profesor Integró las KUAA o alguna TIC en clase, para que puedas Identificar, localizar, recuperar, almacenar, organizar y analizar la información digital."
j8,"Lograste crear  contenidos digitales (editar contenidos nuevos, integrar y elaborar contenidos previos)"
j9," En tu clase, lograste comunicarte en entornos digitales y pudiste compartir recursos a través de herramientas en línea. "
k1[SQ001], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Mobiliario]
k1[SQ002], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Cableado de Red para la interconexión de las computadoras]
k1[SQ003], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Medidas de seguridad]
k1[SQ004], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Equipo de computación]
k1[SQ005], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Acceso a Internet]
k1[other], ¿Qué requerimientos considera que necesita para el uso de las computadoras KUAA en su clase? [Otro]
k2, ¿Sabe de lo que trata el proyecto Inclusión Digital?
k3," Describa brevemente acerca del ""Proyecto Inclusión Digital"""
l1,¿Como calificas la capacitación brindada por el proyecto Inclusión Digital?
l2,¿Por qué?
l3,"Posterior a la capacitación, ¿crees que el uso de tecnologías puede ser útil para el Proceso de Educación y Aprendizaje?"
l4,¿Por qué?
l5,¿Crees que el uso de tecnologías y herramientas de software libre mejoró tu aprendizaje?
l6,¿Por qué?
l7,¿Cómo calificas la labor de los voluntarios en el aula?
i71,¿Por qué?
l8,Anote alguna recomendación u observación para el proyecto Inclusión Digital
